TEXTURE AT STRAIN =    0.0500
   1.012   1.022   0.966  <-- length of phase ellipsoid axes
   55.39    2.54  -13.79  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
  132.35   92.79 -118.83   0.0016500
