TEXTURE AT STRAIN =    0.1500
   1.194   1.309   0.623  <-- length of phase ellipsoid axes
  -34.52    0.60    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
  150.00   88.92 -153.84   0.0003500
