TEXTURE AT STRAIN =    0.3000
   1.087   1.147   0.800  <-- length of phase ellipsoid axes
   62.12    2.30  -24.06  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
  130.15   93.19 -132.02   0.0016500
